time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-26 00:00:00+00:00,2061,174,89,26
2021-10-27 00:00:00+00:00,2648,302,246,47
2021-10-28 00:00:00+00:00,2306,290,139,71
2021-10-29 00:00:00+00:00,2314,243,97,43
2021-10-30 00:00:00+00:00,1217,153,49,24
2021-10-31 00:00:00+00:00,1207,144,45,22
2021-11-01 00:00:00+00:00,2302,275,173,55
2021-11-02 00:00:00+00:00,2308,306,118,50
2021-11-03 00:00:00+00:00,2083,296,122,49
2021-11-04 00:00:00+00:00,2095,268,91,44
2021-11-05 00:00:00+00:00,1850,203,88,48
2021-11-06 00:00:00+00:00,1253,153,60,23
2021-11-07 00:00:00+00:00,1112,120,39,21
2021-11-08 00:00:00+00:00,2236,254,79,45
2021-11-09 00:00:00+00:00,2148,303,105,55
2021-11-10 00:00:00+00:00,2074,260,109,58
2021-11-11 00:00:00+00:00,1968,243,126,59
2021-11-12 00:00:00+00:00,1997,243,105,45
