time_iso8601,stars_cumulative
2021-07-30 00:00:00+00:00,1
2021-08-10 00:00:00+00:00,3
2021-08-19 00:00:00+00:00,9
2021-08-22 00:00:00+00:00,10
2021-08-23 00:00:00+00:00,11
2021-08-25 00:00:00+00:00,12
2021-08-27 00:00:00+00:00,14
2021-08-30 00:00:00+00:00,16
2021-08-31 00:00:00+00:00,19
2021-09-01 00:00:00+00:00,21
2021-09-02 00:00:00+00:00,22
2021-09-03 00:00:00+00:00,23
2021-09-06 00:00:00+00:00,26
2021-09-07 00:00:00+00:00,36
2021-09-08 00:00:00+00:00,40
2021-09-09 00:00:00+00:00,42
2021-09-10 00:00:00+00:00,46
2021-09-12 00:00:00+00:00,47
2021-09-13 00:00:00+00:00,48
2021-09-14 00:00:00+00:00,49
2021-09-15 00:00:00+00:00,79
2021-09-16 00:00:00+00:00,81
2021-09-17 00:00:00+00:00,87
2021-09-18 00:00:00+00:00,90
2021-09-21 00:00:00+00:00,91
2021-09-22 00:00:00+00:00,93
2021-09-23 00:00:00+00:00,95
2021-09-24 00:00:00+00:00,97
2021-09-26 00:00:00+00:00,99
2021-09-27 00:00:00+00:00,101
2021-09-28 00:00:00+00:00,103
2021-09-29 00:00:00+00:00,105
2021-10-04 00:00:00+00:00,109
2021-10-05 00:00:00+00:00,111
2021-10-08 00:00:00+00:00,112
2021-10-09 00:00:00+00:00,115
2021-10-11 00:00:00+00:00,119
2021-10-12 00:00:00+00:00,122
2021-10-15 00:00:00+00:00,124
2021-10-16 00:00:00+00:00,125
2021-10-17 00:00:00+00:00,127
2021-10-18 00:00:00+00:00,131
2021-10-20 00:00:00+00:00,135
2021-10-24 00:00:00+00:00,136
2021-10-25 00:00:00+00:00,138
2021-10-26 00:00:00+00:00,141
2021-10-27 00:00:00+00:00,142
2021-10-28 00:00:00+00:00,149
2021-10-29 00:00:00+00:00,153
2021-11-02 00:00:00+00:00,156
2021-11-03 00:00:00+00:00,239
2021-11-04 00:00:00+00:00,260
2021-11-05 00:00:00+00:00,277
2021-11-06 00:00:00+00:00,284
2021-11-07 00:00:00+00:00,285
2021-11-08 00:00:00+00:00,289
2021-11-09 00:00:00+00:00,296
2021-11-10 00:00:00+00:00,302
2021-11-11 00:00:00+00:00,307
2021-11-12 00:00:00+00:00,310
2021-11-13 00:00:00+00:00,311
2021-11-15 00:00:00+00:00,313
2021-11-16 00:00:00+00:00,314
2021-11-17 00:00:00+00:00,316
2021-11-18 00:00:00+00:00,320
2021-11-19 00:00:00+00:00,322
2021-11-20 00:00:00+00:00,324
2021-11-21 00:00:00+00:00,325
2021-11-22 00:00:00+00:00,328
2021-11-23 00:00:00+00:00,333
2021-11-24 00:00:00+00:00,335
2021-11-25 00:00:00+00:00,339
2021-11-28 00:00:00+00:00,341
2021-11-29 00:00:00+00:00,344
2021-11-30 00:00:00+00:00,348
2021-12-01 00:00:00+00:00,354
2021-12-02 00:00:00+00:00,359
2021-12-03 00:00:00+00:00,366
2021-12-04 00:00:00+00:00,367
2021-12-05 00:00:00+00:00,376
2021-12-06 00:00:00+00:00,397
2021-12-07 00:00:00+00:00,410
2021-12-08 00:00:00+00:00,428
2021-12-09 00:00:00+00:00,435
2021-12-10 00:00:00+00:00,443
2021-12-12 00:00:00+00:00,444
2021-12-13 00:00:00+00:00,447
2021-12-14 00:00:00+00:00,450
