time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-26 00:00:00+00:00,6994,465,2917,557
2021-10-27 00:00:00+00:00,8153,748,4882,937
2021-10-28 00:00:00+00:00,7547,1087,2942,991
2021-10-29 00:00:00+00:00,6439,844,2605,841
2021-10-30 00:00:00+00:00,2504,247,1165,367
2021-10-31 00:00:00+00:00,2554,289,1126,394
2021-11-01 00:00:00+00:00,7761,779,2836,899
2021-11-02 00:00:00+00:00,7629,887,2561,970
2021-11-03 00:00:00+00:00,6288,700,3232,1022
2021-11-04 00:00:00+00:00,6703,784,2808,890
2021-11-05 00:00:00+00:00,5741,700,2668,876
2021-11-06 00:00:00+00:00,2861,339,1133,450
2021-11-07 00:00:00+00:00,2475,240,1209,420
2021-11-08 00:00:00+00:00,7478,921,2831,989
2021-11-09 00:00:00+00:00,7111,948,2663,959
2021-11-10 00:00:00+00:00,6306,842,2601,887
2021-11-11 00:00:00+00:00,5697,734,2638,876
2021-11-12 00:00:00+00:00,6059,793,2482,827
2021-11-13 00:00:00+00:00,2904,336,1028,394
2021-11-14 00:00:00+00:00,3154,305,980,363
2021-11-15 00:00:00+00:00,9027,751,2692,916
2021-11-16 00:00:00+00:00,7864,630,2871,986
2021-11-17 00:00:00+00:00,6681,867,2543,919
2021-11-18 00:00:00+00:00,6250,787,2659,940
2021-11-19 00:00:00+00:00,5655,648,2567,922
2021-11-20 00:00:00+00:00,2765,305,990,382
2021-11-21 00:00:00+00:00,3122,275,1156,382
2021-11-22 00:00:00+00:00,7659,773,2750,940
2021-11-23 00:00:00+00:00,7571,714,2912,908
2021-11-24 00:00:00+00:00,7012,710,2616,940
2021-11-25 00:00:00+00:00,6501,640,2744,861
2021-11-26 00:00:00+00:00,5767,535,1989,715
2021-11-27 00:00:00+00:00,2800,274,1217,394
2021-11-28 00:00:00+00:00,3073,290,1067,395
2021-11-29 00:00:00+00:00,8256,734,3428,1076
2021-11-30 00:00:00+00:00,7726,683,3162,968
2021-12-01 00:00:00+00:00,7558,830,2779,897
2021-12-02 00:00:00+00:00,7166,868,2823,972
2021-12-03 00:00:00+00:00,6975,802,2691,841
2021-12-04 00:00:00+00:00,3201,380,1099,385
2021-12-05 00:00:00+00:00,3044,246,1301,382
2021-12-06 00:00:00+00:00,7926,691,2786,994
2021-12-07 00:00:00+00:00,6757,698,2675,913
2021-12-08 00:00:00+00:00,8063,688,2820,940
2021-12-09 00:00:00+00:00,7280,820,2578,911
2021-12-10 00:00:00+00:00,6475,776,2294,826
2021-12-11 00:00:00+00:00,2759,297,1755,523
2021-12-12 00:00:00+00:00,2907,260,1242,421
2021-12-13 00:00:00+00:00,8307,847,2508,881
2021-12-14 00:00:00+00:00,7042,894,2680,999
2021-12-15 00:00:00+00:00,7424,967,2852,956
2021-12-16 00:00:00+00:00,7409,858,2828,962
2021-12-17 00:00:00+00:00,6595,639,2182,802
2021-12-18 00:00:00+00:00,2490,291,1227,398
2021-12-19 00:00:00+00:00,2815,249,904,365
2021-12-20 00:00:00+00:00,8229,654,2726,888
2021-12-21 00:00:00+00:00,7037,665,2561,870
2021-12-22 00:00:00+00:00,6762,727,2460,876
2021-12-23 00:00:00+00:00,7115,558,2402,881
2021-12-24 00:00:00+00:00,5576,392,1926,648
2021-12-25 00:00:00+00:00,2884,250,948,336
2021-12-26 00:00:00+00:00,3113,272,917,357
2021-12-27 00:00:00+00:00,7762,589,2306,937
2021-12-28 00:00:00+00:00,6789,581,2437,829
2021-12-29 00:00:00+00:00,6818,609,2477,830
2021-12-30 00:00:00+00:00,6994,659,2392,798
2021-12-31 00:00:00+00:00,5669,460,1836,602
2022-01-01 00:00:00+00:00,3509,327,663,268
2022-01-02 00:00:00+00:00,3431,327,921,333
2022-01-03 00:00:00+00:00,7950,688,1662,501
2022-01-04 00:00:00+00:00,7948,802,2682,885
2022-01-05 00:00:00+00:00,8587,881,2672,911
2022-01-06 00:00:00+00:00,7720,686,3067,932
2022-01-07 00:00:00+00:00,7513,641,2292,811
2022-01-08 00:00:00+00:00,3210,305,1018,403
2022-01-09 00:00:00+00:00,3159,301,1150,446
2022-01-10 00:00:00+00:00,6660,672,2518,871
2022-01-11 00:00:00+00:00,4834,919,2625,921
2022-01-12 00:00:00+00:00,5081,754,2705,964
2022-01-13 00:00:00+00:00,4748,777,3326,983
2022-01-14 00:00:00+00:00,4296,620,2467,815
2022-01-15 00:00:00+00:00,3239,313,979,383
2022-01-16 00:00:00+00:00,3234,356,1354,427
2022-01-17 00:00:00+00:00,4738,786,2820,913
2022-01-18 00:00:00+00:00,4679,663,2763,962
2022-01-19 00:00:00+00:00,4941,818,2810,972
2022-01-20 00:00:00+00:00,4924,823,2542,832
2022-01-21 00:00:00+00:00,5021,674,2532,836
2022-01-22 00:00:00+00:00,3270,312,1415,446
2022-01-23 00:00:00+00:00,3297,278,1095,453
2022-01-24 00:00:00+00:00,4948,970,2686,941
2022-01-25 00:00:00+00:00,5006,770,2518,879
2022-01-26 00:00:00+00:00,4587,650,2474,827
2022-01-27 00:00:00+00:00,4472,606,2434,847
2022-01-28 00:00:00+00:00,4302,697,2296,735
2022-01-29 00:00:00+00:00,3137,309,1613,478
2022-01-30 00:00:00+00:00,3346,289,1336,411
2022-01-31 00:00:00+00:00,3685,694,1590,537
