time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-26 00:00:00+00:00,500,82,26,6
2021-10-27 00:00:00+00:00,608,132,123,15
2021-10-28 00:00:00+00:00,463,115,19,9
2021-10-29 00:00:00+00:00,399,92,31,7
2021-10-30 00:00:00+00:00,205,78,14,5
2021-10-31 00:00:00+00:00,205,78,7,4
2021-11-01 00:00:00+00:00,654,142,63,19
2021-11-02 00:00:00+00:00,657,135,61,19
2021-11-03 00:00:00+00:00,531,144,28,11
2021-11-04 00:00:00+00:00,638,151,16,8
2021-11-05 00:00:00+00:00,538,116,28,12
2021-11-06 00:00:00+00:00,298,95,33,3
2021-11-07 00:00:00+00:00,266,79,10,5
2021-11-08 00:00:00+00:00,578,134,9,7
2021-11-09 00:00:00+00:00,614,145,13,7
2021-11-10 00:00:00+00:00,536,137,25,12
2021-11-11 00:00:00+00:00,364,124,46,13
2021-11-12 00:00:00+00:00,461,133,38,14
2021-11-13 00:00:00+00:00,249,100,2,2
2021-11-14 00:00:00+00:00,271,104,15,6
2021-11-15 00:00:00+00:00,776,123,16,5
2021-11-16 00:00:00+00:00,668,148,44,13
2021-11-17 00:00:00+00:00,628,129,23,9
2021-11-18 00:00:00+00:00,574,142,56,13
2021-11-19 00:00:00+00:00,474,126,4,3
2021-11-20 00:00:00+00:00,242,94,5,3
2021-11-21 00:00:00+00:00,298,103,2,2
2021-11-22 00:00:00+00:00,713,130,19,9
2021-11-23 00:00:00+00:00,662,140,31,16
2021-11-24 00:00:00+00:00,549,150,17,10
2021-11-25 00:00:00+00:00,415,126,11,5
2021-11-26 00:00:00+00:00,344,99,17,6
2021-11-27 00:00:00+00:00,212,82,2,1
2021-11-28 00:00:00+00:00,203,72,0,0
2021-11-29 00:00:00+00:00,567,116,31,10
2021-11-30 00:00:00+00:00,557,120,31,12
2021-12-01 00:00:00+00:00,511,126,38,12
2021-12-02 00:00:00+00:00,478,115,11,6
2021-12-03 00:00:00+00:00,473,132,35,9
2021-12-04 00:00:00+00:00,212,104,8,3
2021-12-05 00:00:00+00:00,179,67,14,6
