time_iso8601,forks_cumulative
2020-09-29 00:00:00+00:00,1
2020-11-05 00:00:00+00:00,2
2020-12-05 00:00:00+00:00,3
2021-02-22 00:00:00+00:00,4
2021-05-05 00:00:00+00:00,6
2021-05-12 00:00:00+00:00,7
2021-05-14 00:00:00+00:00,8
2021-05-18 00:00:00+00:00,9
2021-05-25 00:00:00+00:00,10
2021-06-11 00:00:00+00:00,11
2021-06-16 00:00:00+00:00,12
2021-09-22 00:00:00+00:00,13
2021-09-30 00:00:00+00:00,14
2021-10-22 00:00:00+00:00,15
2021-10-25 00:00:00+00:00,16
2021-11-04 00:00:00+00:00,17
2021-11-19 00:00:00+00:00,18
2021-12-09 00:00:00+00:00,19
2021-12-10 00:00:00+00:00,20
2022-01-27 00:00:00+00:00,21
2022-02-10 00:00:00+00:00,22
2022-02-17 00:00:00+00:00,24
2022-02-21 00:00:00+00:00,25
