time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-26 00:00:00+00:00,80,29,0,0
2021-10-27 00:00:00+00:00,96,43,44,5
2021-10-28 00:00:00+00:00,133,60,2,2
2021-10-29 00:00:00+00:00,167,66,19,6
2021-10-30 00:00:00+00:00,123,55,2,2
2021-10-31 00:00:00+00:00,123,50,0,0
2021-11-01 00:00:00+00:00,160,76,14,5
2021-11-02 00:00:00+00:00,278,108,11,1
2021-11-03 00:00:00+00:00,294,105,4,4
2021-11-04 00:00:00+00:00,282,93,2,2
2021-11-05 00:00:00+00:00,259,89,7,5
2021-11-06 00:00:00+00:00,218,75,1,1
2021-11-07 00:00:00+00:00,209,73,0,0
2021-11-08 00:00:00+00:00,257,99,14,4
2021-11-09 00:00:00+00:00,248,92,11,5
2021-11-10 00:00:00+00:00,211,100,22,9
2021-11-11 00:00:00+00:00,264,106,10,3
2021-11-12 00:00:00+00:00,280,88,6,3
2021-11-13 00:00:00+00:00,267,77,0,0
2021-11-14 00:00:00+00:00,226,80,3,1
2021-11-15 00:00:00+00:00,183,82,2,2
2021-11-16 00:00:00+00:00,164,79,11,6
2021-11-17 00:00:00+00:00,148,72,6,3
2021-11-18 00:00:00+00:00,168,72,15,6
2021-11-19 00:00:00+00:00,114,52,10,5
2021-11-20 00:00:00+00:00,60,29,1,1
2021-11-21 00:00:00+00:00,102,43,2,2
2021-11-22 00:00:00+00:00,162,59,12,6
2021-11-23 00:00:00+00:00,146,60,2,2
2021-11-24 00:00:00+00:00,175,70,4,4
2021-11-25 00:00:00+00:00,153,70,6,5
