time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-26 00:00:00+00:00,0,0,91,21
2021-10-27 00:00:00+00:00,9,4,109,31
2021-10-28 00:00:00+00:00,12,8,84,60
2021-10-29 00:00:00+00:00,6,5,62,31
2021-10-30 00:00:00+00:00,6,5,40,17
2021-10-31 00:00:00+00:00,120,53,21,12
2021-11-01 00:00:00+00:00,158,64,126,23
2021-11-02 00:00:00+00:00,260,99,107,31
2021-11-03 00:00:00+00:00,265,96,146,38
2021-11-04 00:00:00+00:00,271,91,50,30
2021-11-05 00:00:00+00:00,313,101,85,32
2021-11-06 00:00:00+00:00,287,89,23,15
2021-11-07 00:00:00+00:00,189,67,10,9
2021-11-08 00:00:00+00:00,166,70,39,26
2021-11-09 00:00:00+00:00,371,147,175,31
2021-11-10 00:00:00+00:00,305,102,87,24
2021-11-11 00:00:00+00:00,275,88,59,31
2021-11-12 00:00:00+00:00,201,65,48,27
2021-11-13 00:00:00+00:00,205,65,11,7
2021-11-14 00:00:00+00:00,227,69,11,9
2021-11-15 00:00:00+00:00,167,65,42,23
2021-11-16 00:00:00+00:00,194,69,36,27
2021-11-17 00:00:00+00:00,168,59,47,30
2021-11-18 00:00:00+00:00,81,44,86,26
2021-11-19 00:00:00+00:00,19,14,52,27
2021-11-20 00:00:00+00:00,0,0,27,14
2021-11-21 00:00:00+00:00,1,1,62,20
2021-11-22 00:00:00+00:00,16,7,51,26
2021-11-23 00:00:00+00:00,18,9,82,30
2021-11-24 00:00:00+00:00,16,12,57,31
2021-11-25 00:00:00+00:00,61,44,47,32
2021-11-26 00:00:00+00:00,61,33,46,29
2021-11-27 00:00:00+00:00,20,13,16,12
2021-11-28 00:00:00+00:00,1,1,27,17
2021-11-29 00:00:00+00:00,51,33,64,35
2021-11-30 00:00:00+00:00,71,43,55,34
2021-12-01 00:00:00+00:00,64,42,44,25
2021-12-02 00:00:00+00:00,31,23,53,31
2021-12-03 00:00:00+00:00,16,16,88,30
2021-12-04 00:00:00+00:00,59,27,18,10
2021-12-05 00:00:00+00:00,59,31,18,10
2021-12-06 00:00:00+00:00,22,17,65,31
2021-12-07 00:00:00+00:00,17,13,35,25
2021-12-08 00:00:00+00:00,115,64,70,34
2021-12-09 00:00:00+00:00,201,70,46,34
2021-12-10 00:00:00+00:00,189,64,46,15
2021-12-11 00:00:00+00:00,168,66,25,14
2021-12-12 00:00:00+00:00,103,52,141,16
2021-12-13 00:00:00+00:00,160,74,215,43
2021-12-14 00:00:00+00:00,218,97,163,45
2021-12-15 00:00:00+00:00,186,74,79,25
